cell,integration_cluster,cell_type,sample_type
X192678095707446.N,0,CD4 or CD8 T cell,N
X192678114281820.N,1,Effector/Memory CD8+ T cells,N
X192678114769710.N,4,Macrophage,N
X192678115076900.N,2,Pro-angiogenesis Macrophage,N
X192678115108638.N,0,Effector/Memory CD4+ T cells,N
X192718870362476.N,2,Pro-angiogenesis Macrophage,N
X192718870371549.N,2,Pro-angiogenesis Macrophage,N
X192718870604598.N,6,Natural killer cell,N
X192718870824884.N,2,Pro-angiogenesis Macrophage,N
X192718871128996.N,1,Effector/Memory CD4+ T cells,N
X192718885272364.N,2,Pro-angiogenesis Macrophage,N
X192718885468595.N,12,Endothelial Cells,N
X192718885570860.N,0,Effector/Memory CD4+ T cells,N
X192718897593189.N,1,Effector/Memory CD8+ T cells,N
X192718898055597.N,6,Natural killer cell,N
X192718916414702.N,0,Effector/Memory CD4+ T cells,N
X192718916730142.N,1,Effector/Memory CD8+ T cells,N
X192729608052075.N,0,Effector/Memory CD4+ T cells,N
X192729608285084.N,12,Endothelial Cells,N
X192729622441243.N,0,Effector/Memory CD4+ T cells,N
X192729635018461.N,2,Pro-angiogenesis Macrophage,N
X192729635252958.N,0,Effector/Memory CD8+ T cells,N
X192729635285750.N,1,Effector/Memory CD8+ T cells,N
X192729635535269.N,7,Pro-angiogenesis Macrophage,N
X192729635736299.N,1,Effector/Memory CD4+ T cells,N
X192729635741093.N,6,Natural killer cell,N
X192729653889459.N,2,Pro-angiogenesis Macrophage,N
X192729654159205.N,3,Pro-angiogenesis Macrophage,N
X192729654352683.N,1,Effector/Memory CD8+ T cells,N
X192745848814430.N,4,Macrophage,N
X192745848878963.N,4,Blood Cell,N
X192745862973300.N,0,Blood Cell,N
X192745894165430.N,6,Natural killer cell,N
X192745894275947.N,3,Pro-angiogenesis Macrophage,N
X192747056256814.N,3,Pro-angiogenesis Macrophage,N
X192747056577964.N,3,Pro-angiogenesis Macrophage,N
X192747070970078.N,1,Effector/Memory CD4+ T cells,N
X192747070970803.N,4,Macrophage,N
X192747071031526.N,4,Pro-angiogenesis Macrophage,N
X192747071268766.N,3,Pro-angiogenesis Macrophage,N
X192747083361011.N,3,Macrophage,N
X192747083614556.N,15,pDC,N
X192747084073374.N,6,Natural killer cell,N
X192788797799325.N,3,Pro-angiogenesis Macrophage,N
X192788812385716.N,0,Effector/Memory CD8+ T cells,N
X192788812740907.N,6,Natural killer cell,N
X192788813270387.N,13,Lung Cancer Cell,N
X192788825500573.N,3,Pro-angiogenesis Macrophage,N
X192788825818859.N,2,Pro-angiogenesis Macrophage,N
X192788844108061.N,2,Pro-angiogenesis Macrophage,N
X192788844141859.N,1,Effector/Memory CD8+ T cells,N
X192788844664750.N,1,Effector/Memory CD4+ T cells,N
X192806917158757.N,2,Pro-angiogenesis Macrophage,N
X192806917401462.N,4,Pro-angiogenesis Macrophage,N
X192806917466478.N,15,pDC,N
X192806931787060.N,3,Pro-angiogenesis Macrophage,N
X192806932564388.N,0,Effector/Memory CD4+ T cells,N
X192806932565404.N,0,Effector/Memory CD4+ T cells,N
X192806944421613.N,2,Pro-angiogenesis Macrophage,N
X192806945155318.N,4,Macrophage,N
X192859679438708.N,8,Non Blood Cell,N
X192859679705389.N,3,Pro-angiogenesis Macrophage,N
X192859680196973.N,6,Natural killer cell,N
X192859692779941.N,1,Effector/Memory CD8+ T cells,N
X192859710868396.N,2,Pro-angiogenesis Macrophage,N
X192859711323571.N,2,Pro-angiogenesis Macrophage,N
X192859711686492.N,3,Pro-angiogenesis Macrophage,N
X195426042202854.N,3,Pro-angiogenesis Macrophage,N
X195426069146419.N,2,Pro-angiogenesis Macrophage,N
X195426069203686.N,8,Lung Cancer Cell,N
X195426069924195.N,3,Pro-angiogenesis Macrophage,N
X195546167032235.N,2,Pro-angiogenesis Macrophage,N
X195546167495534.N,2,Pro-angiogenesis Macrophage,N
X195546181450142.N,1,Effector/Memory CD8+ T cells,N
X195546181978013.N,4,Pro-angiogenesis Macrophage,N
X195546182274461.N,3,Pro-angiogenesis Macrophage,N
X195546194331486.N,3,Pro-angiogenesis Macrophage,N
X195546194828574.N,7,Macrophage,N
X195546213150115.N,2,Pro-angiogenesis Macrophage,N
X195547374938909.N,3,Pro-angiogenesis Macrophage,N
X195547389348268.N,7,Pro-angiogenesis Macrophage,N
X195547389421870.N,1,Effector/Memory CD4+ T cells,N
X195547389443438.N,12,Endothelial Cells,N
X195547389970269.N,11,cDC2,N
X195547390135708.N,3,Macrophage,N
X195547402292021.N,0,Effector/Memory CD4+ T cells,N
X195547421660965.N,0,Effector/Memory CD8+ T cells,N
X195562272831910.N,2,Pro-angiogenesis Macrophage,N
X195562273453918.N,13,Lung Cancer Cell,N
X195562318982382.N,4,Pro-angiogenesis Macrophage,N
X195562319858396.N,1,Effector/Memory CD8+ T cells,N
X195606430760179.N,6,Natural killer cell,N
X195606431001901.N,2,Pro-angiogenesis Macrophage,N
X195606431099171.N,4,Pro-angiogenesis Macrophage,N
X195606445410155.N,2,Pro-angiogenesis Macrophage,N
X195606446033637.N,0,Effector/Memory CD4+ T cells,N
X195606458521821.N,7,Macrophage,N
X195606458522915.N,1,Effector/Memory CD8+ T cells,N
X195606477138670.N,6,Natural killer cell,N
X195615826045347.N,0,Effector/Memory CD4+ T cells,N
X195615826532125.N,6,Natural killer cell,N
X195615840685486.N,4,Pro-angiogenesis Macrophage,N
X195615840954739.N,6,Natural killer cell,N
X195615841021149.N,0,Effector/Memory CD8+ T cells,N
X195615871855861.N,4,Pro-angiogenesis Macrophage,N
X195615871949662.N,3,Pro-angiogenesis Macrophage,N
X195615872400235.N,0,Effector/Memory CD4+ T cells,N
X195615872437596.N,0,Effector/Memory CD4+ T cells,N
X195622417066926.N,8,Pro-angiogenesis Macrophage,N
X195622417360813.N,15,pDC,N
X195622417583347.N,7,Pro-angiogenesis Macrophage,N
X195622417620315.N,2,Pro-angiogenesis Macrophage,N
X195622417622891.N,8,Lung Cancer Cell,N
X195622430165228.N,2,Pro-angiogenesis Macrophage,N
X195622430522589.N,1,Effector/Memory CD4+ T cells,N
X195622448580532.N,0,Effector/Memory CD4+ T cells,N
X195622448614694.N,4,Pro-angiogenesis Macrophage,N
X195622449068907.N,2,Pro-angiogenesis Macrophage,N
X195622449330995.N,6,Natural killer cell,N
X195623342422963.N,7,Pro-angiogenesis Macrophage,N
X195623356585899.N,2,Pro-angiogenesis Macrophage,N
X195623369534365.N,0,Effector/Memory CD4+ T cells,N
X195623370025819.N,3,Pro-angiogenesis Macrophage,N
X195623388572060.N,2,Pro-angiogenesis Macrophage,N
X195623388829413.N,0,Effector/Memory CD8+ T cells,N
X195625758189797.N,2,Pro-angiogenesis Macrophage,N
X195625758608166.N,8,Lung Cancer Cell,N
X195625772576044.N,2,Pro-angiogenesis Macrophage,N
X195625772767068.N,13,Lung Cancer Cell,N
X195625773320094.N,13,Lung Cancer Cell,N
X195625804773292.N,3,Pro-angiogenesis Macrophage,N
X195625804787046.N,2,Pro-angiogenesis Macrophage,N
X195958617855773.N,4,Pro-angiogenesis Macrophage,N
X195958618609451.N,6,Natural killer cell,N
X195958632540908.N,2,Pro-angiogenesis Macrophage,N
X195958632797996.N,3,Pro-angiogenesis Macrophage,N
X195958645385964.N,1,Effector/Memory CD4+ T cells,N
X195958645578654.N,7,Macrophage,N
X195958645615909.N,2,Pro-angiogenesis Macrophage,N
X195958663989172.N,2,Pro-angiogenesis Macrophage,N
X195958664443701.N,11,Macrophage or Dendritic Cell,N
X195958664456987.N,0,Effector/Memory CD4+ T cells,N
X195967074024371.N,3,Pro-angiogenesis Macrophage,N
X195967074326301.N,7,Pro-angiogenesis Macrophage,N
X195967088979166.N,1,CD8 T or NK cell,N
X195967101619438.N,4,Phagocytosis Macrophage,N
X195967119648486.N,3,Pro-angiogenesis Macrophage,N
X195967119681907.N,7,Pro-angiogenesis Macrophage,N
X195967120227573.N,4,Blood Cell,N
X195967120463790.N,2,Pro-angiogenesis Macrophage,N
X196019686926684.N,3,Pro-angiogenesis Macrophage,N
X196019687213366.N,0,Effector/Memory CD4+ T cells,N
X196019701794667.N,7,Pro-inflammatory Macrophage,N
X196019702061283.N,2,Pro-angiogenesis Macrophage,N
X196019714451747.N,0,Blood Cell,N
X196019714931637.N,0,Blood Cell,N
X196019714967275.N,4,Pro-angiogenesis Macrophage,N
X196019733804787.N,6,Natural killer cell,N
X196043577637613.N,1,Effector/Memory CD8+ T cells,N
X196043577715948.N,2,Pro-angiogenesis Macrophage,N
X196043578207067.N,6,Natural killer cell,N
X196043578456430.N,6,Natural killer cell,N
X196043592657763.N,0,Effector/Memory CD4+ T cells,N
X196043592817499.N,8,Lung Cancer Cell,N
X196043604973854.N,6,Natural killer cell,N
X196043624036214.N,2,Pro-angiogenesis Macrophage,N
X196043624311716.N,1,CD8 T or NK cell,N
X196043624311731.N,8,Lung Cancer Cell,N
X196043624602854.N,4,Pro-angiogenesis Macrophage,N
X196113236875190.N,4,Pro-angiogenesis Macrophage,N
X196113236965171.N,4,Pro-angiogenesis Macrophage,N
X196113237207971.N,6,Natural killer cell,N
X196113251912436.N,6,Natural killer cell,N
X196113263913316.N,2,Pro-angiogenesis Macrophage,N
X196163864024940.N,2,Pro-angiogenesis Macrophage,N
X196163864025451.N,3,Pro-angiogenesis Macrophage,N
X196163864545580.N,3,Pro-angiogenesis Macrophage,N
X196163864553396.N,7,Pro-inflammatory Macrophage,N
X196163864803164.N,6,Natural killer cell,N
X196163882904885.N,4,Pro-angiogenesis Macrophage,N
X196174306031523.N,4,Pro-angiogenesis Macrophage,N
X196174306557227.N,3,Pro-angiogenesis Macrophage,N
X196174320425758.N,13,Lung Cancer Cell,N
X196174320621925.N,6,Natural killer cell,N
X196174320977771.N,2,Pro-angiogenesis Macrophage,N
X196174333729580.N,13,Lung Cancer Cell,N
X196174351919979.N,0,Natural killer cell,N
X196174352366827.N,4,Macrophage,N
X196180748156341.N,0,Effector/Memory CD4+ T cells,N
X196180748159924.N,0,Effector/Memory CD8+ T cells,N
X196180748191475.N,2,Pro-angiogenesis Macrophage,N
X196180748744542.N,7,Pro-inflammatory Macrophage,N
X196180748748654.N,4,Pro-angiogenesis Macrophage,N
X196180748983019.N,6,Natural killer cell,N
X196180763102627.N,4,Naive CD4+ T cells,N
X196180763130293.N,1,Natural killer cell,N
X196180763135196.N,8,Lung Cancer Cell,N
X196180763428715.N,0,Pro-angiogenesis Macrophage,N
X196180775422301.N,8,Endothelial Cells,N
X196180775684852.N,3,Pro-angiogenesis Macrophage,N
X196180776216877.N,2,Pro-angiogenesis Macrophage,N
X196180794358620.N,1,Natural killer cell,N
X196180794882269.N,4,Macrophage,N
X196527700952989.N,12,Endothelial Cells,N
X196527700954524.N,0,Effector/Memory CD4+ T cells,N
X196527701244205.N,2,Pro-angiogenesis Macrophage,N
X196527701252342.N,7,Macrophage,N
X196527701256614.N,3,Pro-angiogenesis Macrophage,N
X196527701773732.N,0,Effector/Memory CD4+ T cells,N
X196527715994412.N,3,Pro-angiogenesis Macrophage,N
X196527716223405.N,4,Macrophage,N
X196527728249638.N,8,Normal Fibroblast,N
X196527747389348.N,4,Pro-angiogenesis Macrophage,N
X196527747421918.N,2,Pro-angiogenesis Macrophage,N
X196638162676141.N,4,Macrophage,N
X196638176925491.N,2,Pro-angiogenesis Macrophage,N
X196638177384349.N,0,Effector/Memory CD8+ T cells,N
X196638189411190.N,0,Effector/Memory CD4+ T cells,N
X196638189704950.N,0,Effector/Memory CD4+ T cells,N
X196715471551902.N,2,Macrophage,N
X196715471619893.N,11,Pro-angiogenesis Macrophage,N
X196715472369564.N,6,Natural killer cell,N
X196715472444189.N,2,Pro-angiogenesis Macrophage,N
X196715486297332.N,2,Pro-angiogenesis Macrophage,N
X196715486337252.N,2,Pro-angiogenesis Macrophage,N
X196715487021940.N,1,Natural killer cell,N
X196715499440556.N,7,Macrophage,N
X196715499612406.N,3,Pro-angiogenesis Macrophage,N
X196715517693339.N,3,Pro-angiogenesis Macrophage,N
X196715517799731.N,1,Effector/Memory CD8+ T cells,N
X196715518578085.N,2,Pro-angiogenesis Macrophage,N
X197058264160675.N,1,Effector/Memory CD4+ T cells,N
X197058264223013.N,0,Effector/Memory CD4+ T cells,N
X197058264480164.N,1,Effector/Memory CD4+ T cells,N
X197058278583715.N,3,Pro-angiogenesis Macrophage,N
X197058279198109.N,7,Pro-angiogenesis Macrophage,N
X197058309810075.N,1,CD4 or CD8 T cell,N
X197060142947622.N,8,Lung Cancer Cell,N
X197060142976293.N,2,Pro-angiogenesis Macrophage,N
X197060157397742.N,2,Pro-angiogenesis Macrophage,N
X197060157401884.N,7,Pro-angiogenesis Macrophage,N
X197060188858739.N,8,Stromal Cell,N
X197060189416220.N,3,Pro-angiogenesis Macrophage,N
X197068867098414.N,4,Macrophage,N
X197068867463396.N,2,Pro-angiogenesis Macrophage,N
X197068881516892.N,0,Effector/Memory CD4+ T cells,N
X197068881804011.N,6,Natural killer cell,N
X197068882077547.N,2,Pro-angiogenesis Macrophage,N
X197068894366046.N,0,Effector/Memory CD8+ T cells,N
X197068913272670.N,2,Pro-angiogenesis Macrophage,N
X197135438900525.N,7,Pro-inflammatory Macrophage,N
X197135439121835.N,0,Effector/Memory CD4+ T cells,N
X197135439153437.N,4,Macrophage,N
X197135439194027.N,0,Effector/Memory CD4+ T cells,N
X197135453535588.N,3,Pro-angiogenesis Macrophage,N
X197135454026163.N,4,Pro-angiogenesis Macrophage,N
X197135454394283.N,2,Pro-angiogenesis Macrophage,N
X197135466387813.N,0,Effector/Memory CD4+ T cells,N
X197135466620771.N,3,Pro-angiogenesis Macrophage,N
X197135466912107.N,0,Effector/Memory CD4+ T cells,N
X197135485286685.N,7,Pro-inflammatory Macrophage,N
X197135485298540.N,2,Pro-angiogenesis Macrophage,N
X197145237024029.N,8,Non Blood Cell,N
X197145252248869.N,3,Pro-angiogenesis Macrophage,N
X197145264766245.N,0,Effector/Memory CD4+ T cells,N
X197145283376949.N,7,Pro-angiogenesis Macrophage,N
X197145283475238.N,3,Pro-angiogenesis Macrophage,N
X197185771072347.N,3,Pro-angiogenesis Macrophage,N
X197185771333875.N,0,Blood Cell,N
X197185785682356.N,0,Effector/Memory CD4+ T cells,N
X197185785940723.N,4,Macrophage,N
X197185798334388.N,8,Any Cell,N
X197185798520053.N,6,Natural killer cell,N
X197185798560028.N,2,Pro-angiogenesis Macrophage,N
X197185816935654.N,3,Pro-angiogenesis Macrophage,N
X197185816939253.N,2,Pro-angiogenesis Macrophage,N
X197185816948062.N,1,Effector/Memory CD4+ T cells,N
X197188186691883.N,8,Lung Cancer Cell,N
X197188186725669.N,4,Naive CD4+ T cells,N
X197188187253038.N,2,Pro-angiogenesis Macrophage,N
X197188201135348.N,3,Pro-angiogenesis Macrophage,N
X197188201396510.N,1,Effector/Memory CD8+ T cells,N
X197188201602277.N,2,Pro-angiogenesis Macrophage,N
X197188214208811.N,6,Pro-angiogenesis Macrophage,N
X197188214447467.N,0,Naive CD4+ T cells,N
X197188214504307.N,1,Effector/Memory CD8+ T cells,N
X197188232531302.N,7,Pro-angiogenesis Macrophage,N
X197188232567580.N,0,Effector/Memory CD4+ T cells,N
X197206037642549.N,0,Effector/Memory CD4+ T cells,N
X197206038211291.N,6,Natural killer cell,N
X197206052133213.N,0,Blood Cell,N
X197206052558699.N,0,Blood Cell,N
X197206052910947.N,3,Pro-angiogenesis Macrophage,N
X197206064717158.N,12,Endothelial Cells,N
X197206065207069.N,8,Normal Fibroblast,N
X197206065400621.N,0,Naive CD4+ T cells,N
X197206084019958.N,2,Pro-angiogenesis Macrophage,N
X197206084107165.N,0,CD4 or CD8 T cell,N
X197213554424118.N,3,Pro-angiogenesis Macrophage,N
X197213568263918.N,0,Blood Cell,N
X197213580867309.N,0,Effector/Memory CD8+ T cells,N
X197213581076830.N,2,Pro-angiogenesis Macrophage,N
X197213581134574.N,9,Pro-angiogenesis Macrophage,N
X197213581141941.N,1,Effector/Memory CD8+ T cells,N
X197213599742302.N,4,Macrophage,N
X197256771947942.N,0,Effector/Memory CD4+ T cells,N
X197256786331997.N,2,Pro-angiogenesis Macrophage,N
X197256798919069.N,6,Natural killer cell,N
X197256798923678.N,1,Effector/Memory CD4+ T cells,N
X197256799696803.N,7,Macrophage,N
X197256799702430.N,4,Pro-angiogenesis Macrophage,N
X197256799739107.N,2,Pro-angiogenesis Macrophage,N
X197256799742253.N,4,Blood Cell,N
X197256817850214.N,4,Naive CD4+ T cells,N
X197256817858349.N,2,Pro-angiogenesis Macrophage,N
X197256818087844.N,2,Pro-angiogenesis Macrophage,N
X197256818116965.N,3,Pro-angiogenesis Macrophage,N
X197256818125726.N,7,Pro-angiogenesis Macrophage,N
X197256818313645.N,2,Pro-angiogenesis Macrophage,N
X197256818378668.N,3,Pro-angiogenesis Macrophage,N
X197264019471605.N,2,Pro-angiogenesis Macrophage,N
X197264019998572.N,2,Pro-angiogenesis Macrophage,N
X197264034917747.N,8,Lung Cancer Cell,N
X197264047032244.N,8,Any Cell,N
X197264047459117.N,0,Effector/Memory CD4+ T cells,N
X197264047491427.N,12,Endothelial Cells,N
X199865964615460.N,7,Pro-angiogenesis Macrophage,N
X199865964809582.N,6,Natural killer cell,N
X199865964850478.N,3,Pro-angiogenesis Macrophage,N
X199865979034398.N,8,Lung Cancer Cell,N
X199865979066717.N,3,Pro-angiogenesis Macrophage,N
X199865979549622.N,7,Macrophage,N
X199865991555998.N,2,Pro-angiogenesis Macrophage,N
X199865992112035.N,2,Pro-angiogenesis Macrophage,N
X199865992166622.N,3,Pro-angiogenesis Macrophage,N
X199866010429158.N,1,Effector/Memory CD4+ T cells,N
X199934549645660.N,6,Natural killer cell,N
X199934549646622.N,2,Pro-angiogenesis Macrophage,N
X199934550165811.N,0,Effector/Memory CD4+ T cells,N
X199934550424875.N,1,Effector/Memory CD8+ T cells,N
X199934564579683.N,0,Effector/Memory CD4+ T cells,N
X199934565108453.N,0,Blood Cell,N
X199934577429724.N,3,Pro-angiogenesis Macrophage,N
X199934577621405.N,3,Pro-angiogenesis Macrophage,N
X199934595685094.N,2,Pro-angiogenesis Macrophage,N
X199934595689710.N,2,Pro-angiogenesis Macrophage,N
X199934595946277.N,7,Pro-angiogenesis Macrophage,N
X199934595979550.N,0,Effector/Memory CD4+ T cells,N
X199934596266931.N,2,Pro-angiogenesis Macrophage,N
X199934596298669.N,7,Pro-inflammatory Macrophage,N
X199934596533084.N,1,Effector/Memory CD4+ T cells,N
X199934596562267.N,2,Pro-angiogenesis Macrophage,N
X199944362219229.N,3,Pro-angiogenesis Macrophage,N
X199944362487094.N,0,Effector/Memory CD4+ T cells,N
X199944362677998.N,0,Effector/Memory CD4+ T cells,N
X199944363002597.N,3,Pro-angiogenesis Macrophage,N
X199944374730037.N,2,Pro-angiogenesis Macrophage,N
X199944375220061.N,2,Pro-angiogenesis Macrophage,N
X199944375228844.N,0,Effector/Memory CD4+ T cells,N
X199944375229147.N,0,Blood Cell,N
X199944375323868.N,4,Macrophage,N
X199944375324070.N,3,Pro-angiogenesis Macrophage,N
X199944375524579.N,0,Effector/Memory CD4+ T cells,N
X199944393603997.N,3,Pro-angiogenesis Macrophage,N
X199944393635686.N,2,Pro-angiogenesis Macrophage,N
X199944394390323.N,8,Any Cell,N
X199962332621612.N,2,Pro-angiogenesis Macrophage,N
X199962332642716.N,7,Macrophage,N
X199962333394861.N,0,Naive CD4+ T cells,N
X199962347554613.N,0,Effector/Memory CD4+ T cells,N
X199962347625244.N,1,Effector/Memory CD8+ T cells,N
X199962347628827.N,13,Lung Cancer Cell,N
X199962378816428.N,3,Pro-angiogenesis Macrophage,N
X199962379008925.N,7,Macrophage,N
X199962379369373.N,0,Effector/Memory CD4+ T cells,N
X199962379565875.N,0,Effector/Memory CD4+ T cells,N
X200348208655772.N,8,Lung Cancer Cell,N
X200348208904619.N,2,Pro-angiogenesis Macrophage,N
X200348208946460.N,2,Pro-angiogenesis Macrophage,N
X200348223270196.N,6,Natural killer cell,N
X200348236179236.N,6,Natural killer cell,N
X200348236180382.N,2,Pro-angiogenesis Macrophage,N
X200348254788404.N,2,Phagocytosis Macrophage,N
X200348255313180.N,2,Pro-angiogenesis Macrophage,N
X200348255570292.N,1,Effector/Memory CD4+ T cells,N
X200348255604133.N,6,Natural killer cell,N
X200363912617396.N,4,Pro-angiogenesis Macrophage,N
X200363912903076.N,4,Pro-angiogenesis Macrophage,N
X200363926743838.N,0,Effector/Memory CD8+ T cells,N
X200363926776748.N,3,Pro-angiogenesis Macrophage,N
X200363927300532.N,6,Natural killer cell,N
X200363939416950.N,1,Natural killer cell,N
X200363958255006.N,2,Pro-angiogenesis Macrophage,N
X200363958529307.N,6,Natural killer cell,N
X200363958779302.N,4,Blood Cell,N
X200363959008676.N,1,Effector/Memory CD8+ T cells,N
X200416659684597.N,2,Pro-angiogenesis Macrophage,N
X200416659921819.N,3,Pro-angiogenesis Macrophage,N
X200416660183412.N,4,Pro-angiogenesis Macrophage,N
X200416674363821.N,2,Pro-angiogenesis Macrophage,N
X200416674569637.N,2,Pro-angiogenesis Macrophage,N
X200416675195163.N,15,pDC,N
X200416686992115.N,3,Pro-angiogenesis Macrophage,N
X200416687242613.N,4,Naive CD4+ T cells,N
X200416687478692.N,2,Pro-angiogenesis Macrophage,N
X200416705795877.N,7,Pro-angiogenesis Macrophage,N
X200426591992054.N,3,Pro-angiogenesis Macrophage,N
X200426592356726.N,0,Effector/Memory CD4+ T cells,N
X200426607012075.N,0,Effector/Memory CD4+ T cells,N
X200426607032683.N,0,Blood Cell,N
X200426619524982.N,7,Macrophage,N
X200426637937580.N,0,CD4 or CD8 T cell,N
X200426638206821.N,6,Natural killer cell,N
X200441221539566.N,0,Effector/Memory CD4+ T cells,N
X200441221757229.N,3,Pro-angiogenesis Macrophage,N
X200441222351196.N,1,Effector/Memory CD4+ T cells,N
X200441236933492.N,3,Pro-angiogenesis Macrophage,N
X200441248991469.N,6,Natural killer cell,N
X200441249021278.N,6,Natural killer cell,N
X200441249352924.N,2,Pro-angiogenesis Macrophage,N
X200441249516333.N,8,Non Blood Cell,N
X200441249586462.N,3,Pro-angiogenesis Macrophage,N
X200441267702516.N,7,Macrophage,N
X200511149009261.N,0,Effector/Memory CD4+ T cells,N
X200511149533556.N,3,Pro-angiogenesis Macrophage,N
X200511149762395.N,8,CAFinfla,N
X200511164136820.N,1,Effector/Memory CD8+ T cells,N
X200511176726374.N,1,Effector/Memory CD8+ T cells,N
X200511195338613.N,0,Effector/Memory CD4+ T cells,N
X200561495755700.N,0,Effector/Memory CD4+ T cells,N
X200561495797044.N,2,Pro-angiogenesis Macrophage,N
X200561495828715.N,1,Effector/Memory CD8+ T cells,N
X200561507814244.N,2,Macrophage,N
X200561508435868.N,7,Pro-angiogenesis Macrophage,N
X200562822830316.N,1,Effector/Memory CD8+ T cells,N
X200562823358692.N,1,CD4 or CD8 T cell,N
X200562838198004.N,13,Lung Cancer Cell,N
X200562838223732.N,1,CD8 T or NK cell,N
X200562838292398.N,2,Pro-angiogenesis Macrophage,N
X200562850253037.N,2,Pro-angiogenesis Macrophage,N
X200562868926390.N,4,Phagocytosis Macrophage,N
X200562869201822.N,2,Pro-angiogenesis Macrophage,N
X200562869724894.N,1,Effector/Memory CD8+ T cells,N
X200563762522909.N,2,Pro-angiogenesis Macrophage,N
X200563777232308.N,3,Pro-angiogenesis Macrophage,N
X200563777558324.N,7,Macrophage,N
X200563777812323.N,1,Effector/Memory CD8+ T cells,N
X200563790302622.N,3,Pro-angiogenesis Macrophage,N
X200563808693478.N,9,Pro-angiogenesis Macrophage,N
X200570473737051.N,4,Pro-angiogenesis Macrophage,N
X200570519894899.N,0,Blood Cell,N
X200899053442868.N,2,Pro-angiogenesis Macrophage,N
X200899065732332.N,4,Macrophage,N
X200899084380468.N,1,Effector/Memory CD4+ T cells,N
X200899084900660.N,3,Pro-angiogenesis Macrophage,N
X200922526234974.N,3,Pro-angiogenesis Macrophage,N
X200922526309300.N,0,Effector/Memory CD4+ T cells,N
X200922526828828.N,1,Effector/Memory CD4+ T cells,N
X200922527086451.N,2,Pro-angiogenesis Macrophage,N
X200922527095531.N,4,Macrophage,N
X200922541177270.N,4,Pro-angiogenesis Macrophage,N
X200922541714675.N,3,Pro-angiogenesis Macrophage,N
X200922541767005.N,0,CD4 or CD8 T cell,N
X200922541767414.N,6,Natural killer cell,N
X200922553505502.N,0,Effector/Memory CD4+ T cells,N
X200922553793886.N,3,Pro-angiogenesis Macrophage,N
X200922572712862.N,0,Effector/Memory CD4+ T cells,N
X200922572732262.N,3,Pro-angiogenesis Macrophage,N
X200922573232357.N,0,Effector/Memory CD4+ T cells,N
X200967489538934.N,3,Pro-angiogenesis Macrophage,N
X200967504653733.N,6,Natural killer cell,N
X200967516506973.N,6,Natural killer cell,N
X200967516772774.N,8,Lung Cancer Cell,N
X200967536105308.N,6,Natural killer cell,N
X200967536167221.N,9,Pro-angiogenesis Macrophage,N
X200974065940253.N,2,Pro-angiogenesis Macrophage,N
X200974065953133.N,2,Pro-angiogenesis Macrophage,N
X200974080555828.N,3,Pro-angiogenesis Macrophage,N
X200974080788277.N,3,Pro-angiogenesis Macrophage,N
X200974093470430.N,2,Phagocytosis Macrophage,N
X200974093638558.N,2,Macrophage,N
X200974111988083.N,2,Pro-angiogenesis Macrophage,N
X200974112537460.N,7,Pro-angiogenesis Macrophage,N
X200983461649125.N,2,Pro-angiogenesis Macrophage,N
X200983476652773.N,8,Lung Cancer Cell,N
X200983488915747.N,3,Pro-angiogenesis Macrophage,N
X200983507229414.N,0,Macrophage or Dendritic Cell,N
X200983507324198.N,3,Pro-angiogenesis Macrophage,N
X200983507744565.N,6,Natural killer cell,N
X200983507811678.N,3,Pro-angiogenesis Macrophage,N
X200994198572446.N,4,Pro-angiogenesis Macrophage,N
X200994213804404.N,1,Effector/Memory CD8+ T cells,N
X200994225867638.N,4,Pro-angiogenesis Macrophage,N
X200994225871731.N,13,Non Blood Cell,N
X200994226105589.N,2,Pro-angiogenesis Macrophage,N
X200994244909341.N,2,Pro-angiogenesis Macrophage,N
X200994245262195.N,0,Effector/Memory CD4+ T cells,N
X201111639091940.N,3,Pro-angiogenesis Macrophage,N
X201111653731046.N,3,Pro-angiogenesis Macrophage,N
X201111653759405.N,0,Blood Cell,N
X201111653764380.N,2,Pro-angiogenesis Macrophage,N
X201111654260059.N,2,Pro-angiogenesis Macrophage,N
X201111666379494.N,2,Pro-angiogenesis Macrophage,N
X201111685224355.N,0,Effector/Memory CD4+ T cells,N
X201111685457758.N,3,Pro-angiogenesis Macrophage,N
X201111685491499.N,2,Pro-angiogenesis Macrophage,N
X201111685512092.N,4,Phagocytosis Macrophage,N
X201111685774237.N,9,Pro-angiogenesis Macrophage,N
X201111685937461.N,0,Effector/Memory CD4+ T cells,N
X201114457696028.N,1,Effector/Memory CD8+ T cells,N
X201114457893750.N,6,Natural killer cell,N
X201114485648691.N,2,Pro-angiogenesis Macrophage,N
X201114504083302.N,3,Pro-angiogenesis Macrophage,N
X201465571469748.N,4,Pro-angiogenesis Macrophage,N
X201465571522355.N,15,pDC,N
X201465571753388.N,2,Pro-angiogenesis Macrophage,N
X201465571952989.N,2,Pro-angiogenesis Macrophage,N
X201465586400171.N,6,Natural killer cell,N
X201465586670324.N,8,Lung Cancer Cell,N
X201465598459243.N,3,Pro-angiogenesis Macrophage,N
X201465598723893.N,1,Effector/Memory CD4+ T cells,N
X201465617574692.N,4,Pro-angiogenesis Macrophage,N
X201465617639276.N,4,Macrophage,N
X201465618119899.N,6,Natural killer cell,N
X201465618152750.N,2,Pro-angiogenesis Macrophage,N
X201474295322333.N,2,Pro-angiogenesis Macrophage,N
