cell,cell_type,sample_type
X230741457095987.N,Pro-angiogenesis Macrophage,N
X230749732461412.N,Macrophage,N
X230749747197878.N,Effector/Memory CD4+ T cells,N
X230749747201901.N,Pro-angiogenesis Macrophage,N
X230749759551387.N,Pro-inflammatory Macrophage,N
X230749759719772.N,Natural killer cell,N
X230749760019683.N,Pro-angiogenesis Macrophage,N
X230749778594147.N,Pro-angiogenesis Macrophage,N
X230749778623907.N,Pro-angiogenesis Macrophage,N
X230749778700060.N,Effector/Memory CD4+ T cells,N
X230799407433588.N,Macrophage,N
X230799407496429.N,Effector/Memory CD8+ T cells,N
X230799420340645.N,CD8 T or NK cell,N
X230799420549854.N,Effector/Memory CD4+ T cells,N
X230799438732086.N,Effector/Memory CD8+ T cells,N
X230799438896547.N,Pro-angiogenesis Macrophage,N
X230799439453620.N,Effector/Memory CD4+ T cells,N
X230800332049771.N,Lung Cancer Cell,N
X230800332381468.N,Pro-inflammatory Macrophage,N
X230800332544757.N,Pro-angiogenesis Macrophage,N
X230800332548830.N,Pro-angiogenesis Macrophage,N
X230800332798774.N,Macrophage,N
X230800346986861.N,Pro-angiogenesis Macrophage,N
X230800347322787.N,Pro-angiogenesis Macrophage,N
X230800359574836.N,LAMP3 cDC,N
X230800378419996.N,Pro-angiogenesis Macrophage,N
X230807863179997.N,Pro-angiogenesis Macrophage,N
X230807876029299.N,Lung Cancer Cell,N
X230807894441396.N,Effector/Memory CD4+ T cells,N
X230807894616420.N,Effector/Memory CD4+ T cells,N
X230807894669747.N,Lung Cancer Cell,N
X230809056688556.N,Macrophage,N
X230809056982940.N,Natural killer cell,N
X230809071150940.N,Effector/Memory CD4+ T cells,N
X230809071208749.N,Macrophage,N
X230809083952347.N,LAMP3 cDC,N
X230809083988851.N,Macrophage,N
X230809084245806.N,Pro-angiogenesis Macrophage,N
X230809102378795.N,Pro-angiogenesis Macrophage,N
X230809102576420.N,Phagocytosis Macrophage,N
X230816706881963.N,Pro-angiogenesis Macrophage,N
X230816706946987.N,Pro-inflammatory Macrophage,N
X230816706948453.N,Pro-angiogenesis Macrophage,N
X230816721299891.N,Natural killer cell,N
X230816721325299.N,Pro-angiogenesis Macrophage,N
X230816734103789.N,Natural killer cell,N
X230816734402332.N,Lung Cancer Cell,N
X230816734440860.N,Pro-angiogenesis Macrophage,N
X230816734624685.N,Pro-angiogenesis Macrophage,N
X230816734670052.N,Pro-angiogenesis Macrophage,N
X230816752752421.N,Pro-angiogenesis Macrophage,N
X230816753080563.N,Pro-angiogenesis Macrophage,N
X230816753335724.N,CD4 or CD8 T cell,N
X231270765221622.N,Pro-angiogenesis Macrophage,N
X231270792775604.N,Pro-angiogenesis Macrophage,N
X231270812080045.N,CD8 T or NK cell,N
X231279489563574.N,Effector/Memory CD8+ T cells,N
X231279490161972.N,pDC,N
X231279504505267.N,Natural killer cell,N
X231279535708445.N,Pro-angiogenesis Macrophage,N
X231279536064357.N,Pro-angiogenesis Macrophage,N
X231280294615403.N,Effector/Memory CD4+ T cells,N
X231280294877083.N,Natural killer cell,N
X231280295401270.N,Pro-angiogenesis Macrophage,N
X231280295459182.N,Effector/Memory CD4+ T cells,N
X231280309353332.N,pDC,N
X231280309393203.N,Pro-angiogenesis Macrophage,N
X231280341051700.N,Pro-angiogenesis Macrophage,N
X231291300789683.N,T regulatory cells,N
X231291301082924.N,Natural killer cell,N
X231291301091038.N,Pro-inflammatory Macrophage,N
X231291315480348.N,Pro-angiogenesis Macrophage,N
X231291327757227.N,Effector/Memory CD4+ T cells,N
X231291328280875.N,Effector/Memory CD4+ T cells,N
X231291328289692.N,Pro-angiogenesis Macrophage,N
X231291346631518.N,Pro-angiogenesis Macrophage,N
X231291347490541.N,Effector/Memory CD4+ T cells,N
X231291347495134.N,Pro-angiogenesis Macrophage,N
X231340573080821.N,Macrophage,N
X231340573157740.N,Pro-angiogenesis Macrophage,N
X231340573383579.N,Pro-angiogenesis Macrophage,N
X231340573412211.N,Pro-inflammatory Macrophage,N
X231340573580517.N,Effector/Memory CD4+ T cells,N
X231340585707443.N,Macrophage,N
X231340586264427.N,Lung Cancer Cell,N
X231340604504987.N,Endothelial Cells,N
X231365389212020.N,Macrophage,N
X231365389272942.N,Pro-angiogenesis Macrophage,N
X231365389277429.N,Pro-angiogenesis Macrophage,N
X231365403690790.N,Pro-angiogenesis Macrophage,N
X231365403858795.N,Effector/Memory CD4+ T cells,N
X231365403859164.N,Pro-angiogenesis Macrophage,N
X231365403859171.N,Lung Cancer Cell,N
X231365415975781.N,Effector/Memory CD4+ T cells,N
X231365416434907.N,Pro-angiogenesis Macrophage,N
X231365416537444.N,Macrophage,N
X231365435673949.N,Effector/Memory CD4+ T cells,N
X231366194485667.N,Pro-angiogenesis Macrophage,N
X231366208674542.N,Effector/Memory CD8+ T cells,N
X231366208994668.N,Pro-angiogenesis Macrophage,N
X231366209166630.N,Pro-angiogenesis Macrophage,N
X231366222007019.N,CD4 or CD8 T cell,N
X231366240393966.N,Pro-angiogenesis Macrophage,N
X231366240983267.N,Effector/Memory CD4+ T cells,N
X231692880275891.N,Pro-angiogenesis Macrophage,N
X231692880767836.N,Effector/Memory CD8+ T cells,N
X231692894948211.N,Effector/Memory CD8+ T cells,N
X231692895108508.N,Pro-angiogenesis Macrophage,N
X231692895177012.N,Pro-angiogenesis Macrophage,N
X231692907206892.N,Pro-angiogenesis Macrophage,N
X231692907956534.N,Pro-angiogenesis Macrophage,N
X231711804602790.N,Pro-angiogenesis Macrophage,N
X231711804669173.N,Pro-angiogenesis Macrophage,N
X231711804675932.N,Pro-angiogenesis Macrophage,N
X231711804902765.N,Lung Cancer Cell,N
X231711805434789.N,Natural killer cell,N
X231711805463275.N,Pro-angiogenesis Macrophage,N
X231711819287388.N,Pro-angiogenesis Macrophage,N
X231711819361563.N,Blood Cell,N
X231711819557739.N,Natural killer cell,N
X231711819615588.N,Effector/Memory CD4+ T cells,N
X231711820110580.N,Pro-angiogenesis Macrophage,N
X231711832131436.N,Natural killer cell,N
X231711832205603.N,Pro-angiogenesis Macrophage,N
X231711850740662.N,Effector/Memory CD8+ T cells,N
X231711851046771.N,Pro-angiogenesis Macrophage,N
X231754889059764.N,Naive CD4+ T cells,N
X231754903738269.N,Effector/Memory CD4+ T cells,N
X231754915765166.N,Pro-angiogenesis Macrophage,N
X231754915867379.N,Pro-angiogenesis Macrophage,N
X231754934635379.N,Pro-angiogenesis Macrophage,N
X231760525638059.N,Effector/Memory CD4+ T cells,N
X231760525715182.N,Natural killer cell,N
X231760525905259.N,Effector/Memory CD4+ T cells,N
X231760540387747.N,Naive CD4+ T cells,N
X231760540588389.N,Effector/Memory CD4+ T cells,N
X231760553695476.N,Blood Cell,N
X231760572344622.N,Endothelial Cells,N
X231760572401459.N,Pro-angiogenesis Macrophage,N
X231760572636579.N,Effector/Memory CD8+ T cells,N
X231770055661940.N,Pro-angiogenesis Macrophage,N
X231770055895323.N,Effector/Memory CD4+ T cells,N
X231770055948126.N,Pro-angiogenesis Macrophage,N
X231770055960878.N,Mast cell,N
X231770055981339.N,Effector/Memory CD4+ T cells,N
X231770070399404.N,Natural killer cell,N
X231770070411493.N,Pro-angiogenesis Macrophage,N
X231770082425701.N,Pro-angiogenesis Macrophage,N
X231770083224299.N,Pro-angiogenesis Macrophage,N
X231770101332396.N,Pro-inflammatory Macrophage,N
X231822817672555.N,Effector/Memory CD4+ T cells,N
X231822817676515.N,Macrophage or Dendritic Cell,N
X231822830229291.N,Effector/Memory CD4+ T cells,N
X231822830753644.N,Effector/Memory CD4+ T cells,N
X231822830824244.N,CD4 or CD8 T cell,N
X231822849097131.N,Pro-angiogenesis Macrophage,N
X231822849141547.N,Pro-angiogenesis Macrophage,N
X231890180000990.N,Pro-angiogenesis Macrophage,N
X231890180492654.N,cDC2,N
X231890180597605.N,Pro-angiogenesis Macrophage,N
X231890194982763.N,Pro-angiogenesis Macrophage,N
X231890226404715.N,Blood Cell,N
X231891388259621.N,Natural killer cell,N
X231891388484972.N,Pro-angiogenesis Macrophage,N
X231891402872549.N,Pro-angiogenesis Macrophage,N
X231891403127219.N,Effector/Memory CD4+ T cells,N
X231891434388710.N,Effector/Memory CD4+ T cells,N
X231891434596709.N,CD4 or CD8 T cell,N
X231897696155998.N,Pro-angiogenesis Macrophage,N
X231897696459051.N,Natural killer cell,N
X231897696987939.N,Pro-angiogenesis Macrophage,N
X231897697020635.N,Effector/Memory CD8+ T cells,N
X231897711668147.N,Pro-angiogenesis Macrophage,N
X231897723423987.N,Any Cell,N
X231897742404333.N,Naive CD4+ T cells,N
X231897742621982.N,Blood Cell,N
X231897742634334.N,Pro-angiogenesis Macrophage,N
X231897742850923.N,Blood Cell,N
X231900126829342.N,Effector/Memory CD4+ T cells,N
X231900126861021.N,Pro-angiogenesis Macrophage,N
X231900139678444.N,Pro-angiogenesis Macrophage,N
X231900158291166.N,Effector/Memory CD8+ T cells,N
X231900158539614.N,Effector/Memory CD4+ T cells,N
X231900158551899.N,Pro-angiogenesis Macrophage,N
X231900158741811.N,Macrophage,N
X231900159002974.N,Effector/Memory CD4+ T cells,N
X231907628572060.N,Effector/Memory CD4+ T cells,N
X231907643578598.N,Pro-angiogenesis Macrophage,N
X231907643767668.N,Pro-angiogenesis Macrophage,N
X231907655833387.N,Pro-angiogenesis Macrophage,N
X231907656355102.N,Effector/Memory CD4+ T cells,N
X231907674996134.N,Natural killer cell,N
X231917023546731.N,Pro-angiogenesis Macrophage,N
X231917023554860.N,Effector/Memory CD8+ T cells,N
X231917023574948.N,Pro-angiogenesis Macrophage,N
X231917023868723.N,Effector/Memory CD4+ T cells,N
X231917023870172.N,Pro-angiogenesis Macrophage,N
X231917024069491.N,Pro-angiogenesis Macrophage,N
X231917038722277.N,Macrophage,N
X231917051566892.N,Pro-angiogenesis Macrophage,N
X232261694974259.N,Pro-angiogenesis Macrophage,N
X232261694975204.N,Pro-angiogenesis Macrophage,N
X232261695260979.N,CD4 or CD8 T cell,N
X232261709319604.N,Natural killer cell,N
X232261710109478.N,Effector/Memory CD4+ T cells,N
X232261722200947.N,Pro-angiogenesis Macrophage,N
X232261722519454.N,Effector/Memory CD4+ T cells,N
X232261722684766.N,Blood Cell,N
X232261740883230.N,Pro-angiogenesis Macrophage,N
X232261741402036.N,Pro-angiogenesis Macrophage,N
X232301289135350.N,Naive CD4+ T cells,N
X232301289199859.N,Pro-inflammatory Macrophage,N
X232301289200996.N,Pro-angiogenesis Macrophage,N
X232301303589660.N,Effector/Memory CD4+ T cells,N
X232301303590252.N,Natural killer cell,N
X232301303815006.N,Pro-angiogenesis Macrophage,N
X232301303819683.N,Effector/Memory CD8+ T cells,N
X232301316401012.N,Non Blood Cell,N
X232301335042342.N,Pro-angiogenesis Macrophage,N
X232302631827252.N,pDC,N
X232302631831901.N,Phagocytosis Macrophage,N
X232302646049069.N,Natural killer cell,N
X232302658636077.N,pDC,N
X232302658668468.N,Pro-angiogenesis Macrophage,N
X232302658865509.N,Pro-angiogenesis Macrophage,N
X232302677482277.N,cDC1,N
X232311355231469.N,Natural killer cell,N
X232311355292460.N,Pro-angiogenesis Macrophage,N
X232311355297051.N,Effector/Memory CD4+ T cells,N
X232311355557748.N,Pro-angiogenesis Macrophage,N
X232311355751213.N,Macrophage,N
X232311356025566.N,Pro-angiogenesis Macrophage,N
X232311370143461.N,Pro-angiogenesis Macrophage,N
X232311370149221.N,Pro-angiogenesis Macrophage,N
X232311382525678.N,Pro-angiogenesis Macrophage,N
X232311382994163.N,Natural killer cell,N
X232311383247158.N,Pro-angiogenesis Macrophage,N
X232311383280556.N,Pro-angiogenesis Macrophage,N
X232311401442155.N,Effector/Memory CD4+ T cells,N
X232311401666973.N,Effector/Memory CD4+ T cells,N
X232311401867676.N,Pro-angiogenesis Macrophage,N
X232318603807668.N,Effector/Memory CD8+ T cells,N
X232318617930477.N,Lung Cancer Cell,N
X232318617991523.N,Natural killer cell,N
X232318630222237.N,Effector/Memory CD4+ T cells,N
X232318630324638.N,Pro-angiogenesis Macrophage,N
X232318630586715.N,Pro-angiogenesis Macrophage,N
X232318631008500.N,Pro-angiogenesis Macrophage,N
X232318649355635.N,Pro-angiogenesis Macrophage,N
X232318649363811.N,Blood Cell,N
X232318649882341.N,Lung Cancer Cell,N
X232321018935141.N,Pro-angiogenesis Macrophage,N
X232321018977501.N,Natural killer cell,N
X232321019166005.N,Pro-angiogenesis Macrophage,N
X232321019394469.N,Effector/Memory CD4+ T cells,N
X232321034144173.N,Effector/Memory CD4+ T cells,N
X232321034447131.N,Pro-angiogenesis Macrophage,N
X232321046472629.N,Lung Cancer Cell,N
X232321046694771.N,Pro-angiogenesis Macrophage,N
X232321065273772.N,Effector/Memory CD4+ T cells,N
X232321065380788.N,Pro-angiogenesis Macrophage,N
X232321065860398.N,Pro-angiogenesis Macrophage,N
X232321065896819.N,Effector/Memory CD4+ T cells,N
X232327461890422.N,Pro-angiogenesis Macrophage,N
X232327476336355.N,Pro-angiogenesis Macrophage,N
X232327488858462.N,Pro-angiogenesis Macrophage,N
X232327489447667.N,Effector/Memory CD4+ T cells,N
X232327507824028.N,Pro-angiogenesis Macrophage,N
X232328266729781.N,Effector/Memory CD8+ T cells,N
X232328281377115.N,Macrophage,N
X232328282159910.N,Pro-angiogenesis Macrophage,N
X232328294459299.N,Effector/Memory CD4+ T cells,N
X232328294717668.N,Pro-angiogenesis Macrophage,N
X232328312776422.N,Pro-angiogenesis Macrophage,N
X232328312837933.N,Naive CD4+ T cells,N
X232328313072556.N,Pro-angiogenesis Macrophage,N
X232328313289014.N,Effector/Memory CD4+ T cells,N
X232328313399006.N,Pro-angiogenesis Macrophage,N
X232330279970675.N,Pro-angiogenesis Macrophage,N
X232330280266163.N,Pro-angiogenesis Macrophage,N
X232330280689059.N,Natural killer cell,N
X232330294671220.N,Macrophage,N
X232330295424742.N,Effector/Memory CD4+ T cells,N
X232330307267941.N,Pro-angiogenesis Macrophage,N
X232330307524899.N,Pro-angiogenesis Macrophage,N
X232330326338285.N,Phagocytosis Macrophage,N
X232330326858091.N,Effector/Memory CD4+ T cells,N
X232438996351277.N,Pro-angiogenesis Macrophage,N
X232439011043692.N,Macrophage,N
X232439023622046.N,Pro-angiogenesis Macrophage,N
X232439023781733.N,Lung Cancer Cell,N
X232439024335779.N,Normal Fibroblast,N
X232439024343342.N,Pro-angiogenesis Macrophage,N
X232439042987828.N,Pro-angiogenesis Macrophage,N
X232449734008164.N,Pro-angiogenesis Macrophage,N
X232449734461275.N,Pro-angiogenesis Macrophage,N
X232449761299253.N,Pro-inflammatory Macrophage,N
X232449779809581.N,Lung Cancer Cell,N
X232449780136371.N,Effector/Memory CD4+ T cells,N
X232449780378532.N,Naive CD4+ T cells,N
X232450539089132.N,Pro-angiogenesis Macrophage,N
X232450553730862.N,Pro-angiogenesis Macrophage,N
X232450585122676.N,Pro-angiogenesis Macrophage,N
X232450585684331.N,Pro-angiogenesis Macrophage,N
X234992220102059.N,Blood Cell,N
X234992220400540.N,Pro-angiogenesis Macrophage,N
X234992247717110.N,Natural killer cell,N
X234992248219893.N,Effector/Memory CD4+ T cells,N
X234992266569563.N,Macrophage,N
X234992266825139.N,Effector/Memory CD4+ T cells,N
X235000944514998.N,Pro-angiogenesis Macrophage,N
X235000959191909.N,Pro-angiogenesis Macrophage,N
X235000959778085.N,Natural killer cell,N
X235000971880795.N,Pro-angiogenesis Macrophage,N
X235000972065564.N,Effector/Memory CD4+ T cells,N
X235000972111260.N,Pro-angiogenesis Macrophage,N
X235000990456614.N,Lung Cancer Cell,N
X235007386801947.N,Lung Cancer Cell,N
X235007386802997.N,Effector/Memory CD8+ T cells,N
X235007387055902.N,Pro-angiogenesis Macrophage,N
X235007414061942.N,Effector/Memory CD4+ T cells,N
X235007433467629.N,Pro-angiogenesis Macrophage,N
X235007433652971.N,Effector/Memory CD4+ T cells,N
X235007433689948.N,Effector/Memory CD4+ T cells,N
X235069798271797.N,Pro-angiogenesis Macrophage,N
X235069812653412.N,Pro-angiogenesis Macrophage,N
X235069812959083.N,Macrophage,N
X235069813152603.N,Pro-angiogenesis Macrophage,N
X235069813410547.N,Pro-angiogenesis Macrophage,N
X235069813442333.N,Pro-angiogenesis Macrophage,N
X235069813512107.N,Non Blood Cell,N
X235069825477044.N,Lung Cancer Cell,N
X235069825740019.N,Pro-angiogenesis Macrophage,N
X235069844973790.N,Macrophage,N
X235070737987373.N,Natural killer cell,N
X235070738091251.N,Pro-angiogenesis Macrophage,N
X235070752246133.N,Macrophage,N
X235070752483100.N,Natural killer cell,N
X235070753033059.N,Macrophage,N
X235070753033443.N,Effector/Memory CD4+ T cells,N
X235070783674652.N,Any Cell,N
X235070783875494.N,Pro-angiogenesis Macrophage,N
X235070784170725.N,Pro-angiogenesis Macrophage,N
X235119995403676.N,Blood Cell,N
X235119995963676.N,Pro-angiogenesis Macrophage,N
X235119995991902.N,Effector/Memory CD4+ T cells,N
X235120010095027.N,Blood Cell,N
X235120010419508.N,Macrophage,N
X235120010651382.N,Effector/Memory CD4+ T cells,N
X235120023485662.N,Natural killer cell,N
X235120041847581.N,pDC,N
X235122008999796.N,Pro-angiogenesis Macrophage,N
X235122023361333.N,Pro-angiogenesis Macrophage,N
X235122036496157.N,Pro-angiogenesis Macrophage,N
X235122054846187.N,Non Blood Cell,N
X235122055341998.N,Non Blood Cell,N
X235129927490987.N,Effector/Memory CD8+ T cells,N
X235129927519156.N,Natural killer cell,N
X235129927555446.N,Phagocytosis Macrophage,N
X235129928104732.N,Phagocytosis Macrophage,N
X235129928271707.N,Macrophage,N
X235129942468444.N,Effector/Memory CD8+ T cells,N
X235129942694324.N,Pro-angiogenesis Macrophage,N
X235129954752349.N,Pro-angiogenesis Macrophage,N
X235129954847156.N,CD8 T or NK cell,N
X235129973652318.N,Effector/Memory CD8+ T cells,N
X235188983614261.N,Lung Cancer Cell,N
X235188983842675.N,Natural killer cell,N
X235188984105909.N,Pro-angiogenesis Macrophage,N
X235188998327094.N,Pro-angiogenesis Macrophage,N
X235188998585627.N,Effector/Memory CD4+ T cells,N
X235188998592931.N,Effector/Memory CD8+ T cells,N
X235189010647926.N,Natural killer cell,N
X235189010880934.N,Effector/Memory CD4+ T cells,N
X235189029522164.N,Effector/Memory CD8+ T cells,N
X235198513067822.N,Pro-angiogenesis Macrophage,N
X235198513080037.N,Effector/Memory CD4+ T cells,N
X235198513080739.N,Pro-angiogenesis Macrophage,N
X235198513596846.N,Non Blood Cell,N
X235198528220403.N,Effector/Memory CD8+ T cells,N
X235198540114156.N,Blood Cell,N
X235198540799397.N,Macrophage,N
X235198559213405.N,Effector/Memory CD4+ T cells,N
X235198559665508.N,Effector/Memory CD4+ T cells,N
X235199318911325.N,Pro-angiogenesis Macrophage,N
X235199345420596.N,Stromal Cell,N
X235199345936795.N,Effector/Memory CD4+ T cells,N
X235199364777900.N,Pro-angiogenesis Macrophage,N
X235199365011819.N,Pro-angiogenesis Macrophage,N
X235199365073333.N,Pro-angiogenesis Macrophage,N
X235214350499243.N,Pro-angiogenesis Macrophage,N
X235214351316829.N,Pro-angiogenesis Macrophage,N
X235214365178291.N,Pro-angiogenesis Macrophage,N
X235214365416172.N,Effector/Memory CD8+ T cells,N
X235214378067764.N,Pro-angiogenesis Macrophage,N
X235214396606827.N,Effector/Memory CD4+ T cells,N
X235214396676828.N,Pro-angiogenesis Macrophage,N
X235533386594677.N,Effector/Memory CD4+ T cells,N
X235533400655790.N,Pro-angiogenesis Macrophage,N
X235533400754542.N,Pro-angiogenesis Macrophage,N
X235533401012523.N,Macrophage,N
X235533401505061.N,Blood Cell,N
X235533413538149.N,Pro-angiogenesis Macrophage,N
X235533413600053.N,Pro-angiogenesis Macrophage,N
X235533432153909.N,Pro-angiogenesis Macrophage,N
X235548433402668.N,Pro-angiogenesis Macrophage,N
X235548433931676.N,Pro-angiogenesis Macrophage,N
X235548445924123.N,Pro-angiogenesis Macrophage,N
X235548464830301.N,LAMP3 cDC,N
X235548465322931.N,Pro-angiogenesis Macrophage,N
X235550834346731.N,Effector/Memory CD8+ T cells,N
X235550834546539.N,Effector/Memory CD4+ T cells,N
X235550834646379.N,Pro-angiogenesis Macrophage,N
X235550849001198.N,Macrophage,N
X235550849226669.N,Macrophage,N
X235550849289572.N,Pro-angiogenesis Macrophage,N
X235550849317219.N,Pro-angiogenesis Macrophage,N
X235550849755053.N,Pro-angiogenesis Macrophage,N
X235550861547245.N,Natural killer cell,N
X235550862330715.N,Pro-angiogenesis Macrophage,N
X235550880946987.N,Macrophage,N
X235550881016156.N,Effector/Memory CD4+ T cells,N
X235559290878771.N,Effector/Memory CD4+ T cells,N
X235559304677725.N,Effector/Memory CD4+ T cells,N
X235559305239909.N,Pro-angiogenesis Macrophage,N
X235559305525597.N,Pro-angiogenesis Macrophage,N
X235559317322597.N,cDC2,N
X235559318120158.N,Effector/Memory CD4+ T cells,N
X235559336458141.N,Pro-angiogenesis Macrophage,N
X235601986214748.N,Natural killer cell,N
X235601986440116.N,Pro-angiogenesis Macrophage,N
X235601986772190.N,Pro-angiogenesis Macrophage,N
X235601998530909.N,Natural killer cell,N
X235601998539508.N,Effector/Memory CD4+ T cells,N
X235601999386340.N,Macrophage,N
X235602017401269.N,Pro-angiogenesis Macrophage,N
X235602017937819.N,Pro-angiogenesis Macrophage,N
X235626667367773.N,T regulatory cells,N
X235626667662699.N,Pro-angiogenesis Macrophage,N
X235626667820965.N,Pro-angiogenesis Macrophage,N
X235626668092645.N,Natural killer cell,N
X235626682242908.N,Effector/Memory CD8+ T cells,N
X235626682537710.N,Effector/Memory CD4+ T cells,N
X235626682862819.N,Pro-angiogenesis Macrophage,N
X235626695448926.N,Effector/Memory CD4+ T cells,N
X235626714314998.N,Pro-angiogenesis Macrophage,N
X235678475341212.N,Pro-angiogenesis Macrophage,N
X235678475675955.N,Natural killer cell,N
X235678475963635.N,Pro-angiogenesis Macrophage,N
X235678490322780.N,Pro-angiogenesis Macrophage,N
X235678490348764.N,Pro-angiogenesis Macrophage,N
X235678490380662.N,Pro-angiogenesis Macrophage,N
X235678503422325.N,Macrophage,N
X235678521781478.N,Pro-angiogenesis Macrophage,N
X235678522075046.N,Blood Cell,N
X235678522097068.N,Pro-angiogenesis Macrophage,N
X235678522259758.N,Lung Cancer Cell,N
X235678522301876.N,Macrophage,N
X235695789431644.N,Pro-angiogenesis Macrophage,N
X235695804434853.N,Pro-angiogenesis Macrophage,N
X235695804667630.N,Pro-angiogenesis Macrophage,N
X235695804738781.N,Phagocytosis Macrophage,N
X235695804955875.N,Pro-angiogenesis Macrophage,N
X235695816784732.N,Pro-angiogenesis Macrophage,N
X235695816791788.N,Cancer Associated Fibroblasts,N
X235695816980852.N,Pro-angiogenesis Macrophage,N
X235695835830557.N,Natural killer cell,N
X235697668545460.N,Natural killer cell,N
X235697669294822.N,Pro-angiogenesis Macrophage,N
X235697683487516.N,Effector/Memory CD4+ T cells,N
X235697695742374.N,Pro-angiogenesis Macrophage,N
X235697696553909.N,Macrophage,N
X235697696623004.N,Pro-angiogenesis Macrophage,N
X235697714612126.N,Pro-angiogenesis Macrophage,N
X235697714968422.N,Pro-angiogenesis Macrophage,N
X235737666140062.N,Pro-angiogenesis Macrophage,N
X235737680824675.N,Pro-angiogenesis Macrophage,N
X235737680861597.N,Non Blood Cell,N
X235737680885685.N,Pro-angiogenesis Macrophage,N
X235737712122164.N,Effector/Memory CD8+ T cells,N
X235737712282923.N,Natural killer cell,N
X235763032549150.N,Pro-angiogenesis Macrophage,N
X235763032570788.N,Pro-inflammatory Macrophage,N
X235763032808860.N,Pro-angiogenesis Macrophage,N
X235763047189869.N,Pro-angiogenesis Macrophage,N
X235763047487710.N,Endothelial Cells,N
X235763060303715.N,Pro-angiogenesis Macrophage,N
X235763078908332.N,Macrophage,N
X235763078973797.N,Macrophage,N
X235763079232757.N,Pro-angiogenesis Macrophage,N
X236082068142892.N,Pro-angiogenesis Macrophage,N
X236082082769836.N,Pro-angiogenesis Macrophage,N
X236082082831787.N,Pro-angiogenesis Macrophage,N
X236082082994012.N,Pro-angiogenesis Macrophage,N
X236082083063539.N,Effector/Memory CD4+ T cells,N
X236082083325676.N,Effector/Memory CD4+ T cells,N
X236082096126883.N,Pro-angiogenesis Macrophage,N
X236082096127411.N,Pro-angiogenesis Macrophage,N
X236082115005787.N,Pro-angiogenesis Macrophage,N
X236082115008734.N,Pro-angiogenesis Macrophage,N
X236082115078366.N,Natural killer cell,N
X236167162129195.N,Naive CD4+ T cells,N
X236167162881838.N,Pro-angiogenesis Macrophage,N
X236167176861556.N,Natural killer cell,N
X236167177034085.N,Effector/Memory CD4+ T cells,N
X236167177070428.N,Lung Cancer Cell,N
X236167189904115.N,Blood Cell,N
X236167208228724.N,Phagocytosis Macrophage,N
X236167208487284.N,Effector/Memory CD4+ T cells,N
X236169981454646.N,Pro-angiogenesis Macrophage,N
X236169995438453.N,Macrophage,N
X236169996167531.N,Pro-angiogenesis Macrophage,N
X236170008280358.N,Lung Cancer Cell,N
X236170008705965.N,Pro-angiogenesis Macrophage,N
X236170008812780.N,Effector/Memory CD4+ T cells,N
X236170026804966.N,Pro-angiogenesis Macrophage,N
X236170027060141.N,Pro-angiogenesis Macrophage,N
X236170027682524.N,Stromal Cell,N
X236175633373924.N,Effector/Memory CD4+ T cells,N
X236175645666083.N,Pro-inflammatory Macrophage,N
X236175645919963.N,T regulatory cells,N
X236176826394996.N,Pro-angiogenesis Macrophage,N
X236176826547038.N,Pro-angiogenesis Macrophage,N
X236176826624349.N,Phagocytosis Macrophage,N
X236176840447915.N,Effector/Memory CD4+ T cells,N
X236176841030379.N,Macrophage,N
X236176853056427.N,Pro-angiogenesis Macrophage,N
X236176853362550.N,Blood Cell,N
X236176853587740.N,Pro-angiogenesis Macrophage,N
X236176853612276.N,Pro-angiogenesis Macrophage,N
X236176853842158.N,Naive CD4+ T cells,N
X236176872688358.N,cDC1,N
X236177512380700.N,Pro-angiogenesis Macrophage,N
X236177543588188.N,Pro-angiogenesis Macrophage,N
X236221654743980.N,Pro-angiogenesis Macrophage,N
X236221654751158.N,Macrophage,N
X236221654817011.N,Natural killer cell,N
X236221669271475.N,Pro-angiogenesis Macrophage,N
X236221669521763.N,Effector/Memory CD4+ T cells,N
X236221669956964.N,Pro-angiogenesis Macrophage,N
X236221682044212.N,Effector/Memory CD4+ T cells,N
X236221682308892.N,Natural killer cell,N
X236221682575094.N,CD8 T or NK cell,N
X236221700959582.N,Pro-angiogenesis Macrophage,N
X236221701414309.N,Effector/Memory CD4+ T cells,N
X236221701507955.N,Effector/Memory CD4+ T cells,N
X236288361060653.N,Pro-angiogenesis Macrophage,N
X236288361544028.N,Pro-angiogenesis Macrophage,N
X236288375417068.N,Pro-angiogenesis Macrophage,N
X236288375445931.N,Lung Cancer Cell,N
X236288375638885.N,Pro-angiogenesis Macrophage,N
X236288376269110.N,Pro-angiogenesis Macrophage,N
X236288388316454.N,Pro-angiogenesis Macrophage,N
X236288407427429.N,Effector/Memory CD8+ T cells,N
X236633986555109.N,Effector/Memory CD4+ T cells,N
X236633986555174.N,Pro-angiogenesis Macrophage,N
X236633986644396.N,Pro-angiogenesis Macrophage,N
X236633998646109.N,Pro-angiogenesis Macrophage,N
X236634017519397.N,Pro-angiogenesis Macrophage,N
X236634017580982.N,Pro-angiogenesis Macrophage,N
X236634018007854.N,Effector/Memory CD8+ T cells,N
X236634018297646.N,Pro-angiogenesis Macrophage,N
X236634018311526.N,Blood Cell,N
X236639623239606.N,Natural killer cell,N
X236639623956339.N,Blood Cell,N
X236639636088757.N,Pro-inflammatory Macrophage,N
X236639636539819.N,Pro-angiogenesis Macrophage,N
